Period,Year,Month
201301,2013,1
201302,2013,2
201303,2013,3
201304,2013,4
201305,2013,5
201306,2013,6
201307,2013,7
201308,2013,8
201309,2013,9
201310,2013,10
201311,2013,11
201312,2013,12
201401,2014,1
201402,2014,2
201403,2014,3
201404,2014,4
201405,2014,5
201406,2014,6
201407,2014,7
201408,2014,8
201409,2014,9
201410,2014,10
201411,2014,11
201412,2014,12
201501,2015,1
201502,2015,2
201503,2015,3
201504,2015,4
201505,2015,5
201506,2015,6
201507,2015,7
201508,2015,8
201509,2015,9
201510,2015,10
201511,2015,11
201512,2015,12
